模拟参数: nx=24, dt=0.1, nmc=48
总模拟时间: 1.0s
总耗时: 9.18s, 平均每步: 917.9ms

时间(s)  总环量    最大涡量
0.00    0.441573  0.957536
0.10    0.442457  0.957536
0.20    0.442096  0.955004
0.30    0.440606  0.951876
0.40    0.437440  0.949161
0.50    0.436647  0.946356
0.60    0.434976  0.939365
0.70    0.432666  0.935008
0.80    0.431591  0.930448
0.90    0.428449  0.927034
1.00    0.427305  0.922240
