模拟参数: nx=64, dt=0.1, nmc=128
总模拟时间: 5.0s
总耗时: 363.48s, 平均每步: 7269.6ms

时间(s)  总环量    最大涡量
0.00    0.483734  0.993921
0.10    0.483670  0.993920
0.20    0.483465  0.993606
0.30    0.483003  0.990464
0.40    0.482601  0.989653
0.50    0.482287  0.987910
0.60    0.481792  0.986955
0.70    0.481394  0.985175
0.80    0.480983  0.980440
0.90    0.480490  0.978831
1.00    0.479932  0.976769
1.10    0.479409  0.975239
1.20    0.478817  0.973034
1.30    0.478450  0.971891
1.40    0.477825  0.969377
1.50    0.477354  0.966561
1.60    0.476671  0.962491
1.70    0.476126  0.956086
1.80    0.475758  0.953990
1.90    0.475413  0.953223
2.00    0.474669  0.951425
2.10    0.474024  0.947228
2.20    0.473261  0.945949
2.30    0.472660  0.944976
2.40    0.471844  0.943482
2.50    0.471279  0.939361
2.60    0.470527  0.936918
2.70    0.469698  0.934206
2.80    0.468925  0.931780
2.90    0.468294  0.931317
3.00    0.467810  0.928969
3.10    0.467295  0.926850
3.20    0.466462  0.925191
3.30    0.465793  0.918996
3.40    0.464877  0.917791
3.50    0.464045  0.915346
3.60    0.463268  0.914033
3.70    0.462523  0.911721
3.80    0.461837  0.910670
3.90    0.461042  0.906899
4.00    0.460157  0.903414
4.10    0.459386  0.902593
4.20    0.458790  0.899713
4.30    0.457921  0.891673
4.40    0.457286  0.890561
4.50    0.456428  0.890412
4.60    0.455605  0.888766
4.70    0.454849  0.887800
4.80    0.454139  0.884437
4.90    0.453610  0.882945
5.00    0.452906  0.880915
